name,method,timestamp,acc,h1,h2,h3,depth,samples,games,best_loss,final_loss,total_time_ms,validation_loss,validation_correlation
ToMateToSelf2,selfplay,2026-09-22 01:23:41,256,128,32,32,2,9792,100,3.26513e-06,7.87598e-06,58901.8,0.081939,0
targetnet_verify,selfplay,2026-09-22 11:28:48,256,128,32,32,2,4243,150,2.31772e-15,0.00310933,41899.2,0.0756497,0
targetnet_1000,selfplay,2026-09-22 11:36:12,256,128,32,32,2,24290,1000,0.000167549,0.000167549,272020,0.0770527,-0.168343
sanitycheck_verify,selfplay,2026-09-22 11:46:39,256,128,32,32,2,2858,100,2.74743e-15,0.00379116,28293.6,0.0944772,-0.0512722
warmstart_base,stockfish,2026-09-22 11:54:32,256,128,32,32,8,5000,0,0.079281,0.0859967,11248.2,0.0873784,0.188941
warmstart_leaf_test,selfplay-leaf,2026-09-22 11:55:55,256,128,32,32,2,5525,200,2.9272e-13,0.00228338,63004.7,0.110958,-0.0997968
lambda_test,selfplay-lambda,2026-09-22 11:58:21,256,128,32,32,7,42000,200,7.12125e-10,1.06868e-08,127959,0.0926781,-0.0402824
warmstart_base2,stockfish,2026-09-22 11:59:52,256,128,32,32,8,5000,0,0.0807779,0.0807779,11092.8,0.0937431,0
warmstart_lowlr_test,selfplay-leaf,2026-09-22 12:00:24,256,128,32,32,2,5567,200,0,0.00291164,24010.7,0.111794,0
lrsched_verify,stockfish,2026-09-22 12:08:18,256,128,32,32,4,300,0,0.0685437,0.112767,336.567,0.103384,0
lrsched_sp_verify,selfplay-leaf,2026-09-22 12:08:33,256,128,32,32,2,392,20,6.40404e-09,0.0119031,6825.71,0.0989534,0.00981861
mt_baseline,stockfish,2026-09-22 12:42:27,512,64,32,32,10,300,0,0.0692315,0.0887914,2649.71,0.109236,0
mt_parallel,stockfish,2026-09-22 12:42:42,512,64,32,32,10,300,0,0.049057,0.049057,2417.4,0.112404,0
mt_baseline2,stockfish,2026-09-22 12:43:26,512,64,32,32,10,3000,0,0.0799875,0.0862097,14984.9,0.0648435,0.247478
mt_parallel2,stockfish,2026-09-22 12:43:39,512,64,32,32,10,3000,0,0.0732794,0.0846312,5431.47,0.0781521,0.266502
ToMateToontheLeaderboard,stockfish,2026-09-22 15:45:16,512,64,32,32,7,20000,0,0.0428705,0.051085,13037.1,0.0697774,0.167989
ToMateTo1.1,stockfish (only_train),2026-09-22 17:02:00,512,64,32,32,10,20000,0,0.00946731,0.0147641,1.011e+06,0.0209467,0.453121
run,stockfish (only_train),2026-09-22 18:16:31,512,64,32,32,10,20000,0,0.00855923,0.0135165,2.43299e+06,0.0199523,0.372085
ToMateTo1.2Net,stockfish (only_train),2026-09-22 21:03:11,512,64,32,32,10,20000,0,4.9761e-08,6.64768e-08,1.69384e+06,0.0349278,0.496471
ToMateTo2.0opening,stockfish (only_train),2026-09-22 21:14:26,512,64,32,32,10,20000,0,0.00710764,0.0129998,528347,0.0468785,0.4398
ToMateTo2.1opening2,stockfish (only_train),2026-09-22 21:40:24,512,64,32,32,10,20000,0,0.00909375,0.00938196,528688,0.0483039,0.4274
ToMateTo2.midGame2,stockfish (only_train),2026-09-22 21:54:14,512,64,32,32,10,20000,0,0.0112718,0.0112718,657877,0.0392006,0.475584
ToMateTo2.midend2,stockfish (only_train),2026-09-22 22:11:46,512,64,32,32,10,20000,0,0.00827579,0.0130702,982553,0.0322939,0.546364
ToMateTo2.en2,stockfish (only_train),2026-09-22 22:21:53,512,64,32,32,10,20000,0,0.006035,0.00729209,590848,0.0398652,0.497594
